51;48;1;1001
48;33;1;1001
33;18;1;1001
18;12;1;1001
12;30;1;1001
30;37;2;1001
37;30;2;1001
30;1;1;1001
1;42;1;1001
42;43;1;1001
43;11;1;1001
11;16;1;1001
16;25;2;1001
25;16;2;1001
16;51;1;1001
51;15;1;1002
15;39;1;1002
39;46;1;1002
46;40;2;1002
40;29;2;1002
29;46;2;1002
46;47;1;1002
47;9;1;1002
9;10;2;1002
10;9;2;1002
9;14;1;1002
14;3;1;1002
3;31;1;1002
31;51;1;1002
51;23;1;1003
23;27;1;1003
27;21;1;1003
21;45;2;1003
45;28;2;1003
28;44;2;1003
44;21;2;1003
21;38;1;1003
38;36;1;1003
36;35;1;1003
35;6;1;1003
6;19;1;1003
19;34;1;1003
34;51;1;1003
51;8;1;1004
8;20;1;1004
20;4;1;1004
4;50;1;1004
50;49;1;1004
49;13;1;1004
13;7;1;1004
7;32;1;1004
32;24;1;1004
24;17;1;1004
17;2;1;1004
2;5;2;1004
5;26;2;1004
26;2;2;1004
2;41;1;1004
41;22;1;1004
22;51;1;1004
